ZBTB8B,YES
GSX2,YES
TBX2,YES
PAX8,YES
CREB3L1,YES
NKX6-1,YES
ZNF621,YES
ZNF138,YES
ZNF654,YES
POU3F3,YES
ALX1,YES
EMX1,YES
ZNF718,YES
VSX2,YES
POU1F1,YES
RARA,YES
TLX3,YES
ZIC2,YES
ZNF226,YES
ZNF808,YES
AC067968.1,YES
NR3C1,YES
HIC2,YES
ZNF442,YES
FOSL1,YES
MTF1,YES
YBX3,YES
ZNF705A,YES
NFE2,YES
RAX2,YES
SP1,YES
ARID3A,YES
FEZF1,YES
THAP4,YES
ZNF286A,YES
FOXQ1,YES
AIRE,YES
SNAI3,YES
ZNF224,YES
ATOH8,YES
MECOM,YES
ZNF45,YES
ZNF674,YES
ZXDA,YES
ST18,YES
NKX6-2,YES
ZNF689,YES
ZNF449,YES
ZNF2,YES
TFDP2,YES
ZBTB25,YES
PIAS4,YES
HES4,YES
ZNF592,YES
WT1,YES
ZBTB49,YES
PAX5,YES
MAFG,YES
ZNF837,YES
FOXD4,YES
GATA3,YES
HOMEZ,YES
ZNF26,YES
ZSCAN20,YES
MEOX2,YES
DMRTA1,YES
ZNF567,YES
OVOL1,YES
PRRX2,YES
MAFB,YES
ZNF195,YES
ZNF75D,YES
PIAS2,YES
FOXJ1,YES
GRHL1,YES
KLF11,YES
ATF2,YES
NFAT5,YES
MXD1,YES
SMAD3,YES
DMRT2,YES
BARHL1,YES
IKZF4,YES
ZNF607,YES
E2F7,YES
ZNF595,YES
ETV5,YES
CSRNP3,YES
CEBPD,YES
ZNF669,YES
TBX22,YES
ZNF304,YES
FOXN4,YES
TBX6,YES
ZBED2,YES
HES5,YES
ZNF283,YES
PLAG1,YES
ZNF512B,YES
ZNF486,YES
ZMIZ2,YES
TERF2,YES
TFAM,YES
LCORL,YES
THAP5,YES
TCF15,YES
ZNF75A,YES
HMGB2,YES
EGR3,YES
ZFP69B,YES
USF1,YES
TBR1,YES
SMAD2,YES
ZNF165,YES
HOXA11,YES
LMX1A,YES
LHX6,YES
